#num_of_iter: 100
#num_of_exper: 1
#rows: 50
#cols: 50
#p_init_C: 0.5
#p_state_mut: 0.0
#p_strat_mut: 0.0
#p_0_neighb: 0.3
#p_1_neighb: 0.1
#comp_type: tournament
#sharing: False
#allC: 0.2
#allD: 0.2
#kD: 0.2
#kC: 0.2
#kDC: 0.2
#k_values: 0 to 8
#synchronity_prob: 1.0
#optimal_num_of_1s: 676
#playerC_opponentD_payoff: 0.0
#playerC_opponentC_payoff: 1.0
#playerD_opponentD_payoff: 0.1
#playerD_opponentC_payoff: 1.2
#debug:  False


#Experiment: 0

#seed: 3315125470139624379
iter      f_0D          f_1D          f_2D          f_3D          f_4D          f_5D          f_6D          f_7D          f_8D          f_0C          f_1C          f_2C          f_3C          f_4C          f_5C          f_6C          f_7C          f_8C          f_0DC          f_1DC          f_2DC          f_3DC          f_4DC          f_5DC          f_6DC          f_7DC          f_8DC          
69        0.1778        0.0707        0.2364        0.1071        0.2808        0.1091        0.0121        0.0020        0.0040        0.0476        0.7143        0.0000        0.0000        0.0000        0.0000        0.0476        0.0000        0.1905        0.0000         0.0000         0.0071         0.0196         0.0018         0.0000         0.0267         0.6827         0.2620         
70        0.1976        0.0827        0.2157        0.0867        0.2802        0.1190        0.0121        0.0020        0.0040        0.1429        0.5000        0.0000        0.0000        0.0000        0.0000        0.0714        0.0000        0.2857        0.0000         0.0000         0.0069         0.0191         0.0017         0.0000         0.0191         0.7140         0.2392         
71        0.1747        0.0595        0.2246        0.1094        0.2745        0.1401        0.0115        0.0019        0.0038        0.1250        0.5625        0.0000        0.0000        0.0000        0.0000        0.0625        0.0000        0.2500        0.0000         0.0000         0.0069         0.0190         0.0017         0.0000         0.0345         0.7276         0.2103         
72        0.1891        0.0624        0.2378        0.0955        0.2554        0.1423        0.0117        0.0019        0.0039        0.1429        0.5000        0.0000        0.0000        0.0000        0.0000        0.0714        0.0000        0.2857        0.0000         0.0000         0.0068         0.0187         0.0017         0.0000         0.0323         0.7385         0.2020         
73        0.1850        0.0603        0.2432        0.0998        0.2412        0.1538        0.0104        0.0021        0.0042        0.0952        0.6667        0.0000        0.0000        0.0000        0.0000        0.0476        0.0000        0.1905        0.0000         0.0000         0.0067         0.0185         0.0017         0.0000         0.0438         0.7336         0.1956         
74        0.2042        0.0563        0.2500        0.0583        0.2604        0.1562        0.0083        0.0021        0.0042        0.1176        0.5882        0.0000        0.0000        0.0000        0.0000        0.0588        0.0000        0.2353        0.0000         0.0000         0.0067         0.0166         0.0017         0.0000         0.0349         0.7488         0.1913         
75        0.2262        0.0496        0.2123        0.0774        0.2976        0.1250        0.0060        0.0020        0.0040        0.1111        0.6111        0.0000        0.0000        0.0000        0.0000        0.0556        0.0000        0.2222        0.0000         0.0000         0.0063         0.0157         0.0016         0.0000         0.0377         0.7378         0.2009         
76        0.2334        0.0563        0.2314        0.0483        0.3219        0.0986        0.0040        0.0020        0.0040        0.1667        0.4167        0.0000        0.0000        0.0000        0.0000        0.0833        0.0000        0.3333        0.0000         0.0000         0.0062         0.0170         0.0015         0.0000         0.0355         0.7361         0.2037         
77        0.2637        0.0571        0.2088        0.0308        0.3582        0.0725        0.0022        0.0022        0.0044        0.1053        0.6316        0.0000        0.0000        0.0000        0.0000        0.0526        0.0000        0.2105        0.0000         0.0000         0.0062         0.0170         0.0015         0.0000         0.0464         0.7326         0.1963         
78        0.2703        0.0603        0.2245        0.0270        0.3805        0.0312        0.0000        0.0021        0.0042        0.1333        0.5333        0.0000        0.0000        0.0000        0.0000        0.0667        0.0000        0.2667        0.0000         0.0000         0.0063         0.0173         0.0016         0.0000         0.0487         0.7582         0.1680         
